ts_utc,ts_ms,date_cn,base,symbol,oi_size,oi_delta_pct,funding_bp,funding_pctile,funding_positive_share,next_funding_ms
2026-09-24T16:15:58.720Z,1790266558720,2026-09-25,AAPL,AAPLUSDT,22546.82999999999,-0.4396,0.0,82.0,18.0,1790294400000
2026-09-24T16:15:58.720Z,1790266558720,2026-09-25,META,METAUSDT,9023.440000000004,0.1901,0.0,90.0,10.0,1790294400000
2026-09-24T16:15:58.720Z,1790266558720,2026-09-25,GOOGL,GOOGLUSDT,61675.369999999995,-0.1036,3.47,92.0,35.0,1790294400000
2026-09-24T16:15:58.720Z,1790266558720,2026-09-25,SPY,SPYUSDT,13768.860000000006,0.0136,0.9,93.0,15.0,1790294400000
2026-09-24T16:15:58.720Z,1790266558720,2026-09-25,QQQ,QQQUSDT,20221.629999999994,-0.0882,0.8,66.0,42.0,1790294400000
2026-09-24T16:15:58.720Z,1790266558720,2026-09-25,SOXL,SOXLUSDT,382596.59999999905,-0.6909,2.48,83.0,28.0,1790294400000
2026-09-24T16:15:58.720Z,1790266558720,2026-09-25,HOOD,HOODUSDT,43340.92000000001,-0.238,0.81,86.0,26.0,1790294400000
2026-09-24T16:15:58.720Z,1790266558720,2026-09-25,MRVL,MRVLUSDT,16778.940000000024,-0.5001,0.0,74.0,26.0,1790294400000
2026-09-24T16:18:42.314Z,1790266722314,2026-09-25,TSLA,TSLAUSDT,44174.100000000035,-0.0907,0.0,78.0,22.0,1790294400000
2026-09-24T16:18:42.314Z,1790266722314,2026-09-25,NVDA,NVDAUSDT,72647.23999999993,0.4688,1.82,86.0,31.0,1790294400000
2026-09-24T16:18:42.314Z,1790266722314,2026-09-25,AAPL,AAPLUSDT,22623.979999999996,0.3422,0.0,82.0,18.0,1790294400000
2026-09-24T16:18:42.314Z,1790266722314,2026-09-25,META,METAUSDT,9037.440000000004,0.1552,0.0,90.0,10.0,1790294400000
2026-09-24T16:18:42.314Z,1790266722314,2026-09-25,GOOGL,GOOGLUSDT,61696.53999999999,0.0343,3.47,92.0,35.0,1790294400000
2026-09-24T16:18:42.314Z,1790266722314,2026-09-25,SPY,SPYUSDT,13706.420000000007,-0.4535,0.94,93.0,15.0,1790294400000
2026-09-24T16:18:42.314Z,1790266722314,2026-09-25,QQQ,QQQUSDT,20218.18999999999,-0.017,0.84,68.0,42.0,1790294400000
2026-09-24T16:18:42.314Z,1790266722314,2026-09-25,SOXL,SOXLUSDT,380742.79999999906,-0.4845,2.56,83.0,28.0,1790294400000
2026-09-24T16:18:42.314Z,1790266722314,2026-09-25,HOOD,HOODUSDT,43618.93000000002,0.6414,0.87,86.0,26.0,1790294400000
2026-09-24T16:18:42.314Z,1790266722314,2026-09-25,MRVL,MRVLUSDT,16816.550000000025,0.2242,0.0,74.0,26.0,1790294400000
2026-09-24T16:20:33.128Z,1790266833128,2026-09-25,TSLA,TSLAUSDT,44230.50000000004,0.1277,0.0,78.0,22.0,1790294400000
2026-09-24T16:20:33.128Z,1790266833128,2026-09-25,NVDA,NVDAUSDT,72599.45999999993,-0.0658,1.81,86.0,31.0,1790294400000
2026-09-24T16:20:33.128Z,1790266833128,2026-09-25,AAPL,AAPLUSDT,22739.39999999999,0.5102,0.0,82.0,18.0,1790294400000
2026-09-24T16:20:33.128Z,1790266833128,2026-09-25,META,METAUSDT,9024.290000000005,-0.1455,0.0,90.0,10.0,1790294400000
